id,description
53661,"Greenpath offers debt management programs to clients who will benefit from such programs. In addition, Greenpath will help with housing payment advice and general financial advice."
54697,"Full day, Vpk"
57919,"Support group for men and Women with cancer, their caregivers and friends, who are helping each other to cope with this disease and raise the awareness needed for early detection and cure."
58478,"The American lung association is the leading organization working to save lives by improving lung health and preventing lung disease through education, advocacy and research."
60209,Adult medicine and pediatrics
66738,Offers bereavement support to any one coping with the loss of a loved one.
67360,"Children need good food all year long, even when theyre not in school. The summer food service program provides healthy meals to Children age 18 and younger, free of charge."
67638,Provides affordable housing for rent or sale to low income families and individuals. Offers Homeownership training courses.
68253,"Provides vocational and educational training for adults, young adults, out of school youth, dislocated workers, welfare recipients and refugees."
68622,"Provides free pregnancy tests, counseling and referral services. Sponsors a Spanish language support group for new mothers."
69057,Support group for anyone who has lost a loved one.
69070,A group for family and friends to learn how to deal with people who abuse alcohol.
69242,Support group for parents who have lost a baby at any stage of pregnancy.
75622,"We go shop is a nationally owned company that makes shopping easy. Staff can deliver the groceries the same day unless otherwise specified. We go shop is focused on quality, value and convenience."
76203,"The purpose of this program is to provide nutrition education, breastfeeding support, and healthy foods to Postpartum Women, infants and Children to age five."
76398,Home health companion services including transportation
76735,Provides legal assistance and help for people in need. Call to schedule an appointment.
77934,Support group provides assistance to pregnant teenagers.
78160,Safe shelter and counseling for victims of domestic and sexual violence. Community awareness and prevention training.
78254,"Safe haven for Children in the booker t. Washington neighborhood in north Melbourne. Assist Children with homework, tutoring, provide snacks, computers and outside recreation."
120098,"Provides youth, adults, seniors, and families with information, classes, and workshops on nutrition education, health and wellness, and food budgeting."
120769,Offers support and assistance to people addicted to smoking.
120771,"Public health clinic providing primary and specialty care for patients of all ages, with a focus on west african immigrants."
127090,"Offers financial assistance for bill payment, discounts on utility bills, Weatherization and late bill forgiveness programs."
130467,This program provides information about public health services. Referrals to some public health programs are accepted.
130508,Offers an array of home health care services
131308,Cheer coastal leisure center is a leisure center providing recreation services for 50 and over crowd.
131734,Holy spirit outreach food pantry at rose hill community center.
131737,"Fish volunteers provide transportation to appointments at doctors, clinics and hospitals in Delaware. This is for ambulatory persons when no other agency or resource is available."
131757,Provides care for Children referred through division of family services including those with specialized medical needs including aids and Hiv positivity.
131789,Catholic charities provides outpatient counseling programs
131931,"The offices and programs that Eht oversees includes programs that monitor and enforce health and safety standards, as well as the prevention and control of environmental risk to human health."
131938,To assist people who have disabilities or who are disadvantaged to obtain employment.
132006,"Advoserv has provided residential behavioral treatment services to Children, adolescents and adults, and daytime educational services to students."
132952,Provides social work assistance to those division of public health clients and other vulnerable Sussex county populations.
134227,"Provides a variety of social, rehabilitation, employment, and prevention services."
134362,To provide clients with verifiable emergency situations financial assistance with rent and utilities.
134442,Our savior Lutheran church provides a food pantry to residents living in their service area.
135497,"Provides family therapy, play therapy, individual Counseling, Couples Counseling and Co parenting Counseling."
135667,To offer new parents general information about child development and make referrals to community resources.
136404,"Provide veterans with information, advice, direction and assistance with applying for Va benefits. There are field offices in every county in kansas."
136420,"Thrift store open to the public, sales benefit the city union mission."
136486,"Free pregnancy tests, maternity and baby clothes, friendship and referrals to community services. Diapers and formula as available."
136494,"Provides necessary baby care items such as diapers, wipes, formula, bottles, Etc."
136593,Distribute clothing to income eligible citizens of Abilene.
137452,Wyandot center provides a 24 hour crisis Hotline to Wyandotte county residents in need.
138579,Provide respite care for persons who are caregivers for elders age 60 and over.
138754,To meet nutritional needs of neighbors and homeless people in a welcoming setting. Full hot breakfast and relaxed conversation.
140240,Recruits families who wish to participate in providing foster care.
141989,A licensed private academic school for special education students.
142044,Screens and refers seniors for eligibility for programs associated with adult day care
142057,Caters to senior citizens and provides Daycare services in eastern Schuylkill and western carbon counties.
142135,Provides general dentistry and limited oral surgery.
143332,Operates a food bank designed to assist those who are going through financial struggles.
143340,Provides budget and credit counseling
143440,"Seniors, age 60 or over, who meet certain income requirements, receive a box of nutritious food once a month."
143486,Food pantry provides food in individuals and families in need.
143528,A food pantry that is an extension ministry of lighthouse assembly of god. Seeks to feed those in need and meet spiritual needs as well.
144246,Serves Children whose first language is not English and who are learning English language literacy skills along with their grade level content knowledge and skills.
145818,Provides food to low income members of the community that are in need.
145893,"Provides an opportunity to volunteer at city gate ministries and assist with services provided including food pantry, clothing distribution, meal preparation and maintenance."
145962,Provides a food pantry and government surplus food distribution site for residents of anacortes and la conner.
146366,"Assisted living for fairly independent, offers minimal assistance for seniors 60 years or older."
147743,Offers ged prep classes for pregnant or parenting teens in southwest Seattle. Also provides family advocacy for enrollees. Childcare provided.
147772,Home delivered meals for homebound senior citizens or disabled.
147800,"Provides a hot, nutritious meal every Wednesday evening. A vegetarian option is always available. Anyone who needs a meal, a warm cup of coffee or just a friendly conversation is welcome to attend."
147932,Provides a free hot meal to anyone in need. Also offers emergency food bags during office hours.
147954,Offers food to those in need in the Aberdeen and cosmopolis areas.
148411,"Provides home health care for people of all ages, with all medical diagnoses. Also provides teaching and supporting caregivers, family and friends. Care is provided despite ability to pay."
148436,"Provides a central contact to find country resources, Phonne numbers and information on mason county government services."
148530,Provides individually planned services to help visually impaired individuals find employment in a suitable occupation. Training for independent living skills is provided in preparation for employment.
148916,"A course to learn retail skills necessary for success in retail world, including classroom and store floor training."
149849,A service that provides scheduled home or business pickups of donated clothing or small household goods to the arc of grays harbor.
150790,Main office for the Skagit valley hospital.
152918,Independent private mental health group practice with four providers. All with many years of experience and varied in areas of specialty.
